Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
YOUTH,Levin,"Literacy, Inc. (LINC)",133911331,,3500,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"To support LINC’s menu of literacy programs in District 33. These include school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations.",,
LOCAL,Levine,"Literacy, Inc. (LINC)",133911331,,4000,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Funding to support LINC’s menu of literacy programs in PS 153 and Hamilton Grange Library. These include school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations. LINC is also looking to expand programming to PS 368 in CD 7 next year.  
",,
YOUTH,Dickens,"Literacy, Inc. (LINC)",133911331,,5000,DYCD,,5030 Broadway,Suite 641,New York,,10034,"To support LINC’s literacy programs in Council District 9. These include school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations.",,
YOUTH,Richards,"Literacy, Inc. (LINC)",133911331,,5000,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Funding will support LINC’s menu of literacy programs in the Council District, specifically PS 42  PS 183. These include school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations.",,
YOUTH,Rose,"Literacy, Inc. (LINC)",133911331,,5000,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Funding to support the costs associated with running LINC’s menu of literacy programs in  Council District 49, including staffing, promotion, materials and equipment, and related administrative costs. ",,
YOUTH,Rosenthal,"Literacy, Inc. (LINC)",133911331,,3500,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"To support LINC’s menu of literacy programs in the Council District. These include school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations.",,
YOUTH,Torres,"Literacy, Inc. (LINC)",133911331,,10000,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Funds will support literacy programs including school and library-based programs, parent engagement programs and community celebrations ",,
LOCAL,Rodriguez,"Literacy, Inc. (LINC)",133911331,,3500,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,Funding to support literacy programing for children and parents,,
LOCAL,Espinal,"Literacy, Inc. (LINC)",133911331,,3000,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Requested funding will support LINC’s menu of literacy programs in the Council District. These include school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations.",,
YOUTH,Menchaca,"Literacy, Inc. (LINC)",133911331,,3500,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Funding to support LINC's  school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations in District 38.",,
YOUTH,Cabrera,"Little Branches of Borinquen, Inc.",134049877,,5000,DYCD,,2038 Davidson Avene,,Bronx,NY,"10453
-4652",Funding will defray the costs associated with music/dance/drum core instruction. ,,
LOCAL,Levin,Little Essentials,275281758,,3500,DYCD,,74 Grand Avenue,1C,Brooklyn,NY,11205,To support distribution of children's items to families in need of assistance.,,
LOCAL,Reynoso,Little Essentials,275281758,,3500,DYCD,,74 Grand Avenue,1C,Brooklyn,NY,11205,"To support collection and distribution of gently used household items to families in need.  Funding will be allocated for warehouse rent and utilities, staffing, and workshop development.",,
YOUTH,Vallone,"Little League Baseball of College Point NY, Inc.",208304163,,10000,DYCD,,13-28 123 St,PO Box 1,College Point,NY,11356,Funds will be used to purchase baseball equipment for participants in the little league program.,,
YOUTH,Arroyo,"Little League Raiders Baseball, Inc.",421610657,,5000,DYCD,,1015 Gerard Avenue,Suite 6-C,Bronx,NY,10452,To support the organized baseball league and related activities.,,
LOCAL,Constantinides,"Little Orchestra Society-Orpheon, Inc., The",132638292,,5000,DCLA,,330 West 42nd Street 12th Floor,,New York,NY,10036-6902,Funding will be used to provide music composition classes at PS 122,,
LOCAL,Cornegy,"Little Sun People, Inc.",113081207,,10000,DYCD,,Little Sun People,1360 Fulton Street,Brooklyn,NY,11216, to upgrade  computer lab and classroom technology; strengthen  arts component to  early childhood program; upgrade the school library; and enhance  parent training program,,
YOUTH,Cornegy,"Little Sun People, Inc.",113081207,,5000,DYCD,,1360 Fulton Street,,Brooklyn,NY,11216,To support Little Sun People's delivery of early childhood education year-round,,
LOCAL,Rose,"Living Hope Outreach Ministries, Inc.",200979823,,4000,DYCD,,280 Park Hill Ave Martin Luther Recreation center,POB 40834,Staten Island,NY,10304,"Funding to support general operations expense: office equipment, office supplies, transportation, utilities, phone and internet service; website hosting fees, miscellaneous, etc.",,
LOCAL,Espinal,Local Development Corporation of East New York ,112556667,*,3000,DYCD,,,,,,,To fund financial literacy and training.,,
LOCAL,Van Bramer,"Local Project, Inc.",141892788,*,3500,DYCD,,11-27 44th Road,,Long Island City,NY,11101,"Funds to support the many reoccurring classes at Local Project such as LED programming, gallery show 101, Local Project Little People, Wordpress Support in English/Spanish, DJ classes, water color, sketch sessions.",,
YOUTH,Johnson,"Loco-Motion Dance Theatre for Children, Inc.",133803693,,5500,DYCD,,112 St Marks Place 2,,Brooklyn,NY,11217,To provide scholarships for dance classes for students in PS 3 and children who live in the East Village.,,
LOCAL,Mendez,"Loisaida, Inc.",133023183,,20000,DYCD,,710 East 9th Street ,,NY,NY,10009,Funding to support staffing for arts workshops in District 2 ,,
LOCAL,Van Bramer,Long Island City Partnership,112651377,,5000,DSBS,,27-01 Queens Plaza North,9th Floor,Long Island City,NY,11101,"Funding to re-develop the LIC Partnership website to become a one-stop portal to “LIC Queens”, serving as a hub for all things LIC and providing improved resources for an expanded demographic",,
LOCAL,Van Bramer,Long Island City Partnership,112651377,,10000,DSBS,,27-01 Queens Plaza North,9th Floor,Long Island City,NY,11101," Funding to expand and promote the “LIC Spring Stroll, a street festival combining activities, food, and performances for all ages, launched this year under the DOT Weekend Walks Program.",,
LOCAL,Constantinides,"Long Island Gay And Lesbian Youth, Inc.",208512786,,5000,DYCD,,20 Crossway Park North,Suite 110,Woodbury,NY,11797,"Funding will be used to hire two new staff members to help deliver services at the LGBT community in Queens, including HIV/STD testing, social programs, and emotional support programs. ",,
LOCAL,Dromm,"Long Island Gay And Lesbian Youth, Inc.",208512786,,10000,DYCD,,20 Crossway Park North,Suite 110,Woodbury,NY,11797,To support staff to plan and offer a range of health and supportive services to the LGBT community in Queens,,
LOCAL,Vallone,"Long Island Gay And Lesbian Youth, Inc.",208512786,,5000,DYCD,,20 Crossway Park North,Suite 110,Woodbury,NY,11797,Funds will be used to hire two staff to plan and offer a range of health and supportive services.,,
LOCAL,Lancman,Lorech Yomim-Center For Healthy Living Inc.,113402793,,3500,DFTA,,141-21 70th Road,,Flushing,NY,11367,"Funding to support services, website and news magazine expansion, constituent services and maintenance of the Crisis Intervention Unit.",,
LOCAL,Mark-Viverito,"Los Pleneros De La 21, Inc.",133353110,,15000,DCLA,,1680 LEXINGTON AVE,ROOM 209,NEW YORK,NY,"10029
-4603",Requested funds will be used for the continuation/expansion of the Bomba & Plena For All - Educating through the Arts initiative.,,
LOCAL,Dromm,Louis Armstrong House Museum,264178283,,3500,DYCD,,Louis Armstrong House Museum,34-56 107th Street,Corona,NY,11368,To support creation of multilingual tours and professional staffing,,
YOUTH,Koo,"Lowell School, The",113120337,*,4500,DYCD,,203-05 32nd Avenue,,Bayside,NY,11361,"The funds will be used to offer students the following programs: annual Musical Theatre Productions, After-School programs consisting of Extra Help, Inter-Scholastic Sports, Art, Computer Technology and various clubs based on student interests. ",,
YOUTH,Garodnick,"Lower East Side Girls Club, The",133942063,,3500,DYCD,,Lower Eastside Girls Club Center for Community,101 Avenue D,New York,NY,10009-5441,"Funding will support the Lower East Side Girls Club's  ""Geek Girls"" Science Technology Engineering and Math (STEM) program which will engage girls in astronomy, astro-physics, basic science, engineering, multi-media production, environmental science, sound design and audio engineering.",,
YOUTH,Mendez,"Lower East Side Girls Club, The",133942063,,5000,DYCD,,Lower Eastside Girls Club Center for Community,101 Avenue D,New York,NY,10009-5441,Funding to support Middle School OST programming @Lower Eastside Girls Club Center ,,
YOUTH,Chin,"Lower East Side Girls Club, The",133942063,,4000,DYCD,,Lower Eastside Girls Club Center for Community,101 Avenue D,New York,NY,10009-5441,"Funds will support middle school out-of-school time programming for young women in arts, literacy, science, health, and leadership.",,
LOCAL,Speaker,"Lower East Side Girls Club, The",133942063,,25000,DYCD,,Lower Eastside Girls Club Center for Community,101 Avenue D,New York,NY,10009-5441,"Funding will help the Lower Eastside Girls Club continue to provide strong arts, literacy, science, health and leadership programs to provide girls with the vision to plan and the tools to build their future. Funds will be used to support marketing, staffing, and general expenses.",,
LOCAL,Garodnick,"Lower East Side Tenement Museum, The",133475390,,5000,DCLA,,91 Orchard Street,,New York,NY,10002,Funding will support the Tenement Museum's immigration and history education programs for K-12 students and teachers.,,
LOCAL,Chin,"Lower East Side Tenement Museum, The",133475390,,5000,DCLA,,91 Orchard Street,,New York,NY,10002,Funding will support the Tenement Museum's immigration and history education programs for K-12 students and teachers.,,
LOCAL,Maisel,"Lower Eastside Service Center, Inc.",131972876,,4000,DYCD,,80 Maiden Lane,2nd Floor,New York,NY,10038,To provide essential services to the special needs community.,,
LOCAL,Chin,"Lower Eastside Service Center, Inc.",131972876,,3500,DYCD,,80 Maiden Lane,2nd Floor,New York,NY,10038,"To support Su Casa, a residential facility for individuals dealing with substance abuse issues. Funds will address cost of protecting facility against future flooding.",,
LOCAL,Palma,LSNY Bronx Corp.,161759590,,10000,MOCJ,,349 East 149th 10th Flr,,Bronx,NY,10451,"To provide support for  Legal Services NYC – Bronx and The Bronx Defenders borough-wide project to educate the community about the consequences of contact with the criminal justice system, and provide direct services to eliminate barriers to employment, education and housing.",,
