Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Local,Nelson,"NY United Jewish Association, Inc.",262647383,,"$3,500",DYCD,,2076 Flatbush Ave,,Brooklyn,NY,11234,"To support the Project Mazon food pantry (cost of groceries), a youth program (Skill classes in swimming, sports, art, etc.), and educational seminars (topics include special education, business, parenting, women’s health, etc.). ",,
Boro,Brooklyn Delegation,"NY United Jewish Association, Inc.",262647383,,"$4,219",DYCD,,2076 Flatbush Ave,,Brooklyn,NY,11234,"Funding will support the Project Mazon food pantry for families needing help for food and the Youth Program offering classes to learn skills (swimming , sports, art) and promote self confidence.",,
Local,Fidler,"NY United Jewish Association, Inc.",262647383,,"$15,000",DYCD,,2076 Flatbush Ave,,Brooklyn,,11234,"To support the NY United Jewish Association Inc /DBA The JCC of Marine Park, providing social services,youth programs, food pantry,job placement and educational seminars for the community.",,
Local,Greenfield,"NY United Jewish Association, Inc.",262647383,,"$5,000",DYCD,,2076 Flatbush Ave,,Brooklyn,NY,11234,"To support 1.) Project Mazon food pantry: to help defer the cost of groceries for families needing help for food; 2.) Youth Program: giving children the opportunity to learn skills (swimming , sports,art) and promote self confidence; and 3.)Educational seminars: on several topics including special education, business, parenting, womens health, etc.",,
Local,Williams,"NY United Jewish Association, Inc.",262647383,,"$5,000",DYCD,,2076 Flatbush Ave,,Brooklyn,NY,11234,"To support the Project Mazon Food Pantry, to defer the cost of groceries for families needing help; the Youth Program, for swimming, sports,and the arts; and Educational Seminars, including special education, buisness, parenting and women's health.   ",,
Local,Quinn,"NY Writer's Coalition, Inc.",113604970,,"$3,000",DCLA,,80 Hanson Place,603,Brooklyn,,11217,"To support creative writing programs for LGBT elders at SAGE, LGBT homeless youth at New Alternatives, blind and visually impaired seniors at Visions, and disconnected and homeless youth at The Door. Also, to provide public events in Council District 3. ",,
Local,James,"NY Writer's Coalition, Inc.",113604970,,"$3,500",DCLA,,80 Hanson Place,603,Brooklyn,NY,11217,"To provide for weekly writing workshop sessions, for the 9th Annual Fort Greene Park Summer Literary Festival, and special programming for war veterans, seniors, immigrants, adults in rehabilitation and long term care and for the public at community writing workshops.",,
Local,Greenfield,NYC Community EMS Volunteer Ambulance Corp,352440730,*,"$3,500",DYCD,,1583 McDonald Ave,,Brooklyn,NY,11230,Providing Emergency Medical Services.,,
Local,Koslowitz,NYC Family Serenity Inc.,452938143,,"$5,000",DYCD,,97-07 63 Rd,Suite 3N,Rego Park,NY,11374,"The funds will be used to support the ""We Are The World, We Are The Children"" festival in Flushing Meadows Corona Park.",,
Local,Dickens,NYC Health and Hospital Corp./East New York Diagnostic and Treatment Center,132655001,,"$3,500",DOHMH,,Harlem Hospital Center,506 Lenox Avenue,New York City,,10037,"To support the Horizon Art Studio, which provides a creative therapeutic forum forpediatrics patients, including workshops and help in developing portfolios.  ",,
Local,Dickens,NYC Health and Hospital Corp./East New York Diagnostic and Treatment Center,132655001,,$0,DOHMH,,Harlem Hospital Center,506 Lenox Avenue,New York City,,10037,"To support the Horizon Art Studio, which provides a creative therapeutic forum forpediatrics patients, including workshops and help in developing portfolios.  ",,
Local,Dickens,NYC Health and Hospital Corp./East New York Diagnostic and Treatment Center,132655001,,$0,DOHMH,,506 Lenox Avenue,MLK 16-156,New York,,10037,To support the Hip Hop Healthy Eating and Living in Schools (HEALS) program located at Harlem Hospital Center. ,,
Infant Mortality Reduction,,NYC Health and Hospital Corp./East New York Diagnostic and Treatment Center,132655001,,"$25,800",DOHMH,,2094 Pitkin Avenue,,Brooklyn,NY,11207,,,
Youth,Dickens,NYC Kidsfest,263538262,,"$3,500",DYCD,,61 Lenox Ave  5A,,NYC,,10026,"To support NYC Kidsfest, a free to the public performing arts festival for families Citywide.",,
Local,Brewer,New York City Housing Authority,136400434,,"$2,000",NYCHA,120 West 94 Street,,,,,,Funding would provide support for family day programming,,
Local,Brewer,New York City Housing Authority,136400434,,"$1,000",NYCHA,154 W 84 Street Dome Site,,,,,,Funding would provide support for family day programming,,
Local,Brewer,New York City Housing Authority,136400434,,"$1,500",NYCHA,589 Amsterdam Avenue Tenant Association,,,,,,Funding would provide support for tenant activities,,
Local,Brewer,New York City Housing Authority,136400434,,"$2,000",NYCHA,Amsterdam Houses Addition Tenant Association,,,,,,Funding would provide support for family day programming,,
Local,Brewer,New York City Housing Authority,136400434,,"$2,000",NYCHA,Amsterdam Houses Tenant Association,,,,,,To support family day programming.,,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Carey Gardens TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Cassidy/Lafayette TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Coney Island Houses TA ,,,,,,"Funding will support community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Coney Island Site 8 TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Brewer,New York City Housing Authority,136400434,,"$2,000",NYCHA,DeHostos Tenant Association,,,,,,Funding would provide support for tenant activities,,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Gravesend TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Brewer,New York City Housing Authority,136400434,,"$2,000",NYCHA,Harborview Tenants Association,,,,,,Funding would provide support for family day programming,,
Local,Jackson,New York City Housing Authority,136400434,,"$5,000",NYCHA,Manhattanville Houses Residents Association,,,,,,"Funds will support family day, the 50th anniversary of the development as well as events for the youth. ",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Mariners Habor TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Marlboro Houses,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,New Lane Shores TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,O'Dwyer Gardens,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Richmond Terrace,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Dickens,New York City Housing Authority,136400434,,"$3,500",NYCHA,Saint Nicholas Residents Association,230 West 131th St Apt 8B,,New York,,10027,"To support a walking trail for exercise, landscaping work, and the annual family day event for tenants at St. Nicholas Houses.",,
Boro,Brooklyn Delegation,NYCHA Scholarship Fund,136400434,,"$3,362",NYCHA,,,,,NY,,NYCHA-CUNY Resident Scholarship program helps residents to enroll and stay in college by helping to defray college tuition and related expenses.,,
Local,Jackson,NYCHA Scholarship Fund,136400434,,"$4,000",NYCHA,,,,,,,"Funds will support a scholarship program for NYCHA residents at Manhattanville, Grant, Audobon, Bethune Gardens and Drew Hamilton Developments to attend CUNY. ",,
Local,Brewer,New York City Housing Authority,136400434,,"$1,000",NYCHA,Sondra Thomas,,,,,,Funding would provide support for tenant activities,,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Stapleton Houses TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Todt Hill Houses TA,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
Local,Recchia,New York City Housing Authority,136400434,,"$2,000",NYCHA,Unity Towers TA Coney Island 1,,,,,,"To provide community engagement and empowerment activities, education and health and fitness programming for residents, including  physical fitness classes, and recreational outings to areas of interest.",,
